fighter_id,sig_strikes_succ,takedowns_att,takedowns_succ,submiss_att,reversals,ctrl,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att
2689.0,51.0,1.0,0.0,0.0,0.0,110,0.0,132.0,64.0,117.0
2691.0,8.0,0.0,0.0,0.0,0.0,0,0.0,27.0,10.0,25.0
2692.0,2.0,3.0,1.0,1.0,0.0,0,0.0,16.0,15.0,3.0
2693.0,356.0,24.0,6.0,1.0,2.0,1581,0.0,1329.0,575.0,1075.0
2694.0,28.0,19.0,8.0,0.0,0.0,668,0.0,156.0,95.0,74.0
2695.0,47.0,15.0,5.0,6.0,0.0,821,0.0,258.0,127.0,171.0
2696.0,12.0,2.0,0.0,1.0,1.0,30,0.0,68.0,43.0,35.0
2697.0,70.0,0.0,0.0,2.0,0.0,226,0.0,195.0,136.0,125.0
2698.0,211.0,43.0,6.0,0.0,0.0,934,0.0,507.0,299.0,406.0
2700.0,439.0,20.0,14.0,2.0,2.0,772,13.0,1175.0,510.0,1099.0
2702.0,1108.0,220.0,76.0,16.0,2.0,9127,6.0,4290.0,1929.0,3339.0
2703.0,44.0,18.0,5.0,8.0,0.0,695,0.0,176.0,100.0,112.0
2706.0,56.0,3.0,0.0,0.0,0.0,228,0.0,123.0,75.0,99.0
2707.0,71.0,3.0,0.0,0.0,0.0,24,1.0,169.0,75.0,164.0
2708.0,85.0,39.0,11.0,1.0,0.0,406,1.0,207.0,95.0,188.0
2709.0,85.0,9.0,3.0,1.0,0.0,520,0.0,295.0,198.0,176.0
2710.0,451.0,2.0,1.0,0.0,0.0,315,0.0,1031.0,672.0,790.0
2711.0,0.0,0.0,0.0,1.0,0.0,22,0.0,6.0,2.0,3.0
2712.0,263.0,8.0,5.0,17.0,4.0,1103,2.0,963.0,621.0,586.0
2714.0,40.0,16.0,7.0,4.0,0.0,478,0.0,144.0,76.0,107.0
2715.0,228.0,6.0,1.0,0.0,0.0,416,2.0,626.0,391.0,433.0
2719.0,2.0,2.0,1.0,0.0,0.0,7,0.0,16.0,10.0,6.0
2720.0,169.0,19.0,7.0,8.0,5.0,1133,0.0,424.0,229.0,355.0
2721.0,787.0,46.0,19.0,4.0,3.0,1985,8.0,1794.0,960.0,1596.0
2722.0,612.0,44.0,20.0,10.0,1.0,2118,2.0,1842.0,963.0,1455.0
2723.0,796.0,23.0,10.0,8.0,3.0,1427,1.0,2535.0,1096.0,2187.0
2724.0,252.0,24.0,9.0,2.0,0.0,1842,3.0,720.0,480.0,472.0
2725.0,222.0,0.0,0.0,2.0,0.0,109,2.0,590.0,309.0,492.0
2726.0,341.0,6.0,3.0,1.0,0.0,382,2.0,835.0,417.0,755.0
2727.0,344.0,20.0,10.0,0.0,0.0,347,1.0,791.0,383.0,746.0
2728.0,1530.0,47.0,19.0,5.0,4.0,2275,3.0,3082.0,1747.0,2834.0
2733.0,38.0,17.0,9.0,1.0,1.0,866,0.0,112.0,79.0,67.0
2734.0,309.0,81.0,33.0,0.0,0.0,2260,4.0,828.0,435.0,669.0
2735.0,762.0,9.0,4.0,6.0,3.0,1024,0.0,2323.0,1259.0,1760.0
2736.0,287.0,4.0,4.0,0.0,0.0,134,3.0,865.0,319.0,826.0
2737.0,679.0,29.0,12.0,2.0,2.0,1352,4.0,1693.0,776.0,1584.0
2738.0,510.0,32.0,14.0,5.0,5.0,1926,5.0,1192.0,733.0,944.0
2739.0,111.0,0.0,0.0,0.0,1.0,212,0.0,313.0,183.0,236.0
2741.0,0.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0
2743.0,120.0,4.0,1.0,1.0,0.0,121,0.0,452.0,283.0,267.0
2746.0,12.0,4.0,2.0,0.0,0.0,206,0.0,31.0,14.0,29.0
2748.0,15.0,10.0,1.0,0.0,0.0,102,0.0,52.0,20.0,46.0
2754.0,34.0,1.0,0.0,0.0,0.0,0,0.0,109.0,34.0,109.0
2758.0,33.0,10.0,4.0,12.0,2.0,0,0.0,337.0,304.0,63.0
2759.0,70.0,6.0,0.0,0.0,0.0,1,0.0,197.0,72.0,194.0
2763.0,201.0,6.0,4.0,10.0,0.0,469,4.0,568.0,261.0,503.0
2764.0,180.0,5.0,4.0,1.0,1.0,428,1.0,584.0,235.0,522.0
2765.0,81.0,20.0,14.0,2.0,4.0,1223,2.0,349.0,216.0,193.0
2766.0,10.0,3.0,1.0,1.0,0.0,89,0.0,34.0,12.0,29.0
2767.0,82.0,21.0,2.0,0.0,0.0,542,0.0,301.0,121.0,258.0
2768.0,39.0,10.0,5.0,0.0,3.0,795,1.0,184.0,125.0,66.0
2769.0,10.0,0.0,0.0,0.0,0.0,0,0.0,43.0,22.0,31.0
2770.0,75.0,7.0,5.0,2.0,0.0,242,0.0,178.0,108.0,140.0
2771.0,72.0,13.0,4.0,2.0,3.0,567,0.0,261.0,152.0,170.0
2773.0,777.0,49.0,20.0,0.0,3.0,3429,0.0,2104.0,1489.0,1321.0
2774.0,79.0,6.0,5.0,0.0,1.0,809,1.0,354.0,181.0,242.0
2777.0,44.0,6.0,4.0,1.0,2.0,0,0.0,125.0,87.0,77.0
2778.0,289.0,2.0,2.0,0.0,0.0,133,1.0,729.0,406.0,609.0
2779.0,293.0,1.0,1.0,0.0,0.0,85,3.0,641.0,327.0,601.0
2782.0,30.0,9.0,5.0,0.0,0.0,197,0.0,98.0,43.0,82.0
2785.0,64.0,18.0,2.0,1.0,0.0,687,0.0,242.0,132.0,170.0
2786.0,46.0,0.0,0.0,1.0,0.0,7,0.0,123.0,51.0,116.0
2787.0,21.0,6.0,2.0,0.0,1.0,280,0.0,93.0,53.0,56.0
2792.0,293.0,63.0,24.0,11.0,0.0,2232,7.0,835.0,464.0,650.0
2793.0,90.0,5.0,4.0,1.0,1.0,343,1.0,197.0,115.0,171.0
2794.0,111.0,5.0,3.0,2.0,0.0,556,0.0,304.0,160.0,237.0
2795.0,367.0,4.0,1.0,0.0,1.0,603,2.0,1052.0,473.0,943.0
2796.0,98.0,0.0,0.0,0.0,0.0,81,2.0,312.0,102.0,306.0
